"Nitrate_percolation","Denitrification_rate","Denitrification_sat_threshold","Soil_layer_thickness","Bulk_density","Available_water_capacity","Hydraulic_conductivity","Soil_carbon","Clay_content","pH","Stream_depth","Aquifer_bottom_depth","Maximum_baseflow","WTD_return_flow","Slope","Slope_length","Lateral_length","Field_width","Field_length","dummy_3"
166.616457119118,47.7564870128408,-69.9818308930844,-49.666319042405,71.8765647640855,308.787961969141,160.593777204207,342.898421227001,-51.8608963591978,-21.3895053588239,331.736238112273,3.60243034993663,0.571273828499083,9.27083502352449,-36.5560602113521,102.122168120915,1.73670789120099,165.340756245543,479.561225443603,83.2948609720916
161.346126887714,42.5604058925528,-82.5634405161254,-56.8811850229473,35.159908851637,59.868638774606,18.4488872178354,297.914741992019,-6.76477934094146,36.3855754908024,48.5877676560042,4.52262644561024,1.1945504192106,3.19255778782804,-24.8806719152627,195.348225538486,9.04276660333888,85.6417412232475,906.564952909424,98.1074454728514
104.807478116592,50.7654003025964,41.3729885928333,-29.8752288740087,-35.7990225511669,26.5634241503197,-75.25995178195,357.747323912103,93.8898850430269,13.6685948753493,-45.1142652961148,7.73123392933335,1.30373254126183,8.22146346321627,40.0481395410586,62.3036933955312,-42.2215671658042,69.8991832838551,670.946908836161,56.9243520731106
-91.2359642134979,77.9818324397784,4.16141252405941,-58.8742930746715,-34.4131386288506,226.521377291468,-77.030066864725,305.571399751585,93.3682488808408,36.3787548192337,63.8090673869966,5.12455557445776,1.16822953363311,0.331197045977897,-14.3356799493959,124.35251853588,7.10895872772618,228.895203152669,273.026948462117,32.5683213071898
214.997621466639,-80.102648521075,-0.315665742848068,-24.8191557307547,-16.6571335824256,115.664030507693,-3.49755138453411,161.841369712725,47.994162422372,46.3750300418744,445.034412949985,6.63558862122637,1.4471007022109,6.02804998832378,0.581455762581029,56.9703605212156,-23.7787430345918,113.463452964349,532.247897281118,59.4347133068368
203.369028969668,52.5686124318745,74.9986371884588,-48.5419946393455,69.5066653808566,171.128209577521,180.30654230218,317.074512757361,-96.9340316909365,38.1645365223309,9.61279503068641,4.54650201561267,0.59653643316778,6.34558285341923,-42.4660386430595,185.472643105622,27.9878564966251,75.0259977500267,789.831770680911,37.4560637632385
89.3929592440836,-14.7369617624208,-81.7347094318829,-67.8354427229825,58.2652098359186,230.675347504296,139.394029825153,434.889569915365,-53.4389169837814,32.0012757501938,245.256694000194,6.03506909206678,0.459990062805,9.54279719607314,3.25652145854706,40.2700430281564,-12.383198438069,316.798613344673,441.219117210639,61.7089016595855
326.251110776793,53.1345101913903,88.9267893831711,-43.9437134373111,21.786465639142,-9.55231225546663,51.2342883663052,236.5625064224,-7.13650661916472,28.670395482152,294.146774373145,7.05687587679825,0.590481838426762,5.49895248838482,44.1054457671019,20.1376397874142,-35.0899795052613,52.3211368476608,545.133195328923,33.4295277483761
346.910786968889,61.1313703297637,-83.2344008360524,-48.6573132805324,5.12595407017349,109.852287710412,56.0643343655519,282.895390187856,-21.5320674569812,-29.0907487273409,-26.9030655805196,5.79464263922738,1.06222141873408,4.67809175165893,3.73111544888545,17.577622545864,-8.8618793638355,85.1398631350218,593.409875286185,35.0761054549366
-44.7542363936082,64.0125877063256,82.9650349903386,-53.3547249771249,43.9338512199735,459.511149669694,58.5035071899066,240.518017849419,-36.0876551663969,65.4280757355768,241.073179868837,5.91499351623295,0.501732502293122,5.07994125559879,-41.2843312162899,124.689357613913,0.0390071454800704,87.6663594998302,374.40645911819,43.5207767644897
